1014;1067;1248;1015;1165
3340;3516;3076;3314;3167
377;553;498;266;381
1204;1380;977;1094;1064
1408;1394;1783;1457;1559
157;234;384;132;160
2116;2093;2490;2164;2267
658;834;440;547;527
1147;1200;1381;1148;1298
3290;3466;3026;3265;3118
1267;1443;1049;1157;1136
2071;2048;2445;2119;2222
1020;997;1394;1068;1171
372;548;493;261;376
1264;1440;1046;1153;1133
1600;1776;1336;1575;1428
1533;1519;1907;1581;1684
571;595;750;619;606
327;503;202;216;200
138;374;425;45;201
2829;3005;2565;2804;2656
638;691;895;686;789
1372;1549;1154;1262;1242
272;448;184;180;92
334;510;209;224;203
284;460;405;173;287
1298;1474;1080;1187;1167
846;1022;647;821;673
446;622;567;335;449
2190;2366;1972;2079;2059
1523;1700;1422;1413;1509
688;799;425;663;516
450;626;165;339;319
116;288;463;127;239
570;647;802;618;658
1091;1267;872;980;960
466;642;587;356;470
1373;1549;1155;1262;1242
1126;1302;908;1016;995
1358;1534;1139;1247;1227
1222;1276;1457;1223;1374
1105;1159;1340;1106;1256
263;439;197;185;92
652;828;434;541;521
1220;1396;1002;1109;1089
466;642;587;356;470
1091;1267;873;981;960
631;807;633;521;635
1355;1531;1136;1244;1224
485;661;127;347;312
127;289;474;138;251
2035;2211;1816;1924;1904
640;816;641;529;643
1085;1261;867;975;954
466;642;587;356;470
1148;1125;1522;1196;1299
247;423;222;179;105
1303;1479;1085;1192;1172
1110;1286;892;999;979
307;483;200;282;134
976;902;1057;1024;913
628;804;630;518;632
385;561;470;274;389
1154;1331;936;1044;1024
2568;2545;2942;2616;2719
602;778;550;491;557
1213;1389;995;1103;1082
387;563;471;276;390
906;900;1054;954;910
446;622;229;420;273
2539;2516;2913;2587;2690
1120;1296;901;1009;989
1153;1329;935;1043;1022
364;417;738;412;515
568;744;515;457;523
1300;1476;1082;1189;1169
862;855;1010;910;866
594;667;787;553;667
1149;1325;931;1039;1018
2324;2500;2060;2299;2152
1459;1635;1366;1348;1453
500;676;448;390;456
474;518;700;412;526
968;1144;866;858;954
610;787;558;500;566
1373;1549;1154;1262;1242
712;760;900;760;756
1217;1393;999;1107;1086
1845;1929;2080;1846;1996
661;838;663;551;665
1454;1630;1361;1343;1449
1128;1304;909;1017;997
534;710;536;424;538
1757;1743;2132;1805;1908
1194;1089;1244;1242;1100
1106;1282;887;995;975
2477;2653;2213;2452;2304
1236;1412;1018;1126;1105
793;969;804;682;796
3256;3432;2993;3231;3084
721;897;503;611;590
1452;1628;1359;1341;1446
538;714;540;428;542
1235;1411;1016;1124;1104
1194;1089;1244;1242;1100
1009;1002;1157;1057;1013
721;897;503;611;590
1438;1614;1346;1328;1433
609;682;802;568;682
1876;1959;2026;1835;1949
2970;3146;2706;2945;2797
1088;1264;870;977;957
553;729;555;442;557
1089;1265;871;979;958
352;209;533;326;310
1459;1635;1366;1348;1454
407;460;781;455;558
1425;1411;1799;1473;1576
1469;1645;1376;1358;1464
733;909;515;623;602
932;1108;965;821;935
395;572;516;285;399
1125;1301;906;1014;994
1490;1666;1398;1380;1485
1510;1686;1507;1400;1514
325;501;446;214;328
1696;1780;1930;1697;1847
603;779;505;492;592
1142;1318;924;1031;1011
1108;1284;889;997;977
172;202;399;147;175
1507;1683;1484;1396;1510
461;637;582;351;465
606;659;863;654;757
1507;1683;1415;1397;1502
176;198;402;150;179
810;986;718;700;805
1170;1346;952;1059;1039
466;642;587;356;470
1657;1833;1565;1547;1652
1506;1682;1484;1396;1510
1937;2113;1718;1826;1806
1172;1348;954;1062;1042
2991;3167;2727;2966;2818
587;763;597;476;591
266;233;493;241;270
1178;1354;959;1067;1047
470;543;683;449;563
990;1166;901;880;988
1583;1759;1698;1473;1587
1333;1319;1707;1381;1484
996;1172;1007;885;999
532;708;533;421;535
1286;1462;1068;1175;1155
276;353;503;251;279
674;650;1048;722;825
831;742;896;879;753
675;652;1050;724;826
1267;1443;1049;1157;1136
274;450;260;163;225
280;358;507;255;284
1317;1493;1098;1206;1186
828;739;894;877;750
286;363;512;260;289
238;414;281;213;65
1480;1656;1457;1370;1484
580;756;528;470;536
463;536;676;442;556
449;502;823;497;600
235;411;240;210;63
577;651;770;536;650
459;635;407;348;414
295;471;338;269;122
321;497;370;210;324
2818;2994;2554;2792;2645
424;477;798;472;575
1257;1310;1364;1173;1288
779;609;601;754;635
227;403;270;202;54
533;709;481;423;489
388;441;648;417;539
507;684;291;482;335
340;516;131;315;168
416;470;790;464;567
299;351;673;347;450
262;438;267;237;90
342;518;134;317;170
495;671;443;385;451
399;452;773;447;550
283;459;254;258;110
415;468;789;463;566
2660;2836;2396;2634;2487
307;483;145;282;134
616;792;564;505;572
1218;1271;1452;1219;1369
400;453;774;448;551
1046;957;1111;1094;968
267;443;272;242;94
233;409;354;123;237
1093;1269;874;982;962
929;1105;941;819;933
249;425;221;224;76
308;484;146;283;135
401;455;776;450;552
1003;1179;975;893;1007
2119;2295;2027;2009;2114
275;451;186;250;102
668;844;575;557;663
248;424;220;223;76
263;439;235;238;91
274;450;186;249;102
551;727;288;526;379
274;450;260;163;225
320;496;214;295;147
178;333;515;189;292
265;441;236;239;92
327;503;314;216;331
223;399;268;198;54
317;493;210;292;144
330;506;223;304;157
497;550;754;545;648
290;367;517;265;293
267;443;158;194;96
1151;1137;1525;1199;1302
298;474;198;272;125
304;402;425;193;307
312;488;206;287;140
310;486;204;285;138
309;485;202;283;136
321;497;215;296;149
1596;1451;1606;1596;1462
1351;1337;1725;1399;1502
1239;1225;1613;1287;1390
302;478;202;277;129
1374;1229;1384;1374;1240
304;480;205;279;132
255;490;541;162;318
307;483;201;282;135
306;482;200;281;134
1209;1195;1583;1257;1360
262;438;233;237;89
161;337;320;136;97
313;489;214;288;140
259;435;231;234;86
609;785;557;498;565
301;477;195;276;129
1209;1195;1583;1257;1360
565;741;513;455;521
1190;1176;1564;1238;1341
589;765;591;479;593
538;714;486;427;493
295;471;189;270;123
320;496;139;295;147
558;734;294;533;385
311;487;130;285;138
556;732;292;530;383
596;773;598;486;600
1160;1146;1534;1208;1311
565;741;566;454;569
792;968;803;681;795
1157;1143;1531;1205;1308
463;639;534;352;466
298;474;191;273;125
313;489;125;288;140
1388;1564;1286;1278;1374
309;485;116;283;136
600;705;362;575;427
1150;1136;1524;1198;1301
527;703;529;417;531
422;598;64;397;249
235;411;278;210;62
310;486;115;285;137
356;480;176;331;183
1136;1122;1510;1184;1287
431;607;67;364;258
403;531;222;378;230
561;737;563;451;565
598;702;359;572;425
391;567;82;309;227
1138;1124;1512;1186;1289
281;358;507;255;284
575;751;576;464;578
440;568;260;415;268
1310;1165;1320;1310;1176
1481;1597;1514;1370;1485
456;382;314;431;260
506;405;364;480;310
454;380;312;429;258
1998;1975;2372;2046;2149
210;386;436;127;213
2757;2933;2253;2360;2584
613;789;638;503;617
433;316;349;408;292
241;244;468;216;245
1564;1740;1679;1453;1567
1457;1634;1365;1347;1452
853;1029;761;743;848
149;366;496;168;273
216;392;283;105;219
419;595;124;394;246
2458;2634;2239;2347;2327
271;448;367;161;275
604;780;386;493;473
548;602;813;597;699
1611;1787;1157;1340;1438
292;468;339;181;295
2446;2622;2228;2335;2315
272;448;277;247;99
1695;1779;1929;1696;1846
763;939;545;653;633
448;502;676;497;599
2724;2900;2460;2426;2551
2718;2894;2454;2420;2545
273;449;278;248;101
349;426;576;324;353
1134;1310;844;1024;1003
2128;2304;2035;2017;2123
945;1121;843;834;930
252;428;257;227;79
199;375;259;88;202
1451;1627;1428;1340;1454
1169;1346;951;1059;1039
866;1042;647;755;735
2145;2321;2053;2035;2140
621;797;403;510;490
1387;1563;1285;1276;1372
2034;2211;1538;1645;1862
997;1174;779;887;867
284;460;255;258;111
1380;1556;1278;1269;1365
1237;1413;1019;1126;1106
643;819;645;533;647
783;959;681;673;769
643;819;645;533;647
2801;2977;2289;2396;2628
1483;1659;1390;1372;1478
267;344;493;241;270
1232;1408;1028;1121;1101
177;412;463;84;240
1635;1811;1542;1524;1629
833;1009;740;722;827
314;490;305;204;318
1240;1416;1037;1130;1109
555;628;747;514;628
624;800;406;513;493
1945;2030;2180;1946;2096
3284;3260;3658;3332;3435
185;421;471;92;248
746;922;653;635;741
554;627;746;513;627
2015;2191;1797;1904;1884
615;714;807;573;687
553;626;746;512;626
188;424;474;95;251
974;1150;785;965;802
696;872;594;586;682
235;411;240;209;62
146;382;432;53;209
550;624;743;509;623
490;543;864;538;641
503;576;695;461;575
2074;2250;1856;1963;2209
2060;2236;1842;1949;2177
248;424;369;138;252
739;810;501;714;567
250;486;537;157;313
458;511;710;423;537
454;507;710;423;537
2127;2303;1909;2017;1996
187;363;327;104;153
514;690;298;489;341
258;434;192;180;87
175;411;461;82;238
357;533;395;247;361
2418;2594;2154;2393;2245
251;428;226;178;80
2936;2773;2844;2826;2931
