ID;Name;Long/Lat;Adresse;Storetype855029552;Friedhof Hassels Haupteingang;6.873510/51.172734;None None;surface
1357536079;None;6.829348/51.183242;None None;underground
5975498939;None;6.820598/51.232346;None None;underground
2642769736;None;6.857944/51.211683;None None;multi-storey
1372467749;None;6.802587/51.209901;None None;underground
6036409666;None;6.874257/51.178008;None None;underground
2652720457;None;6.875447/51.161620;None None;multi-storey
1375606321;None;6.769674/51.280633;None None;multi-storey
6037701112;None;6.714394/51.241241;None None;underground
2713645429;None;6.817498/51.239277;None None;underground
1384206734;None;6.854263/51.205636;None None;underground
6037839352;None;6.713907/51.242367;None None;underground
2719301111;Parkhaus Düsseldorf Arcaden;6.774024/51.209022;None None;multi-storey
1384206801;None;6.854302/51.206364;None None;underground
2746618983;None;6.879037/51.145573;None None;underground
6307582767;Parking;6.727464/51.232199;None None;multi-storey
1384961617;None;6.828243/51.182235;None None;underground
2779714479;None;6.868300/51.148505;None None;underground
6367494835;None;6.870279/51.269688;None None;underground
1387936209;None;6.829938/51.208869;None None;underground
2782177980;None;6.866037/51.145473;None None;underground
6376597448;None;6.778528/51.245111;None None;underground
1390565005;None;6.837999/51.214147;None None;underground
2821164891;None;6.827863/51.182926;None None;underground
6378940955;None;6.778733/51.245000;None None;underground
1397435830;None;6.837482/51.206457;None None;underground
2828437177;None;6.834436/51.203794;None None;surface
6402044828;None;6.782422/51.251365;None None;underground
1398891143;None;6.899637/51.200161;None None;underground
2865607822;None;6.815897/51.218515;None None;exit
6438790065;None;6.831486/51.206191;None None;underground
1398891182;None;6.899510/51.200494;None None;underground
6441457466;None;6.860800/51.194277;None None;underground
1400843808;None;6.868700/51.177131;None None;underground
2865607837;None;6.815258/51.218731;None None;multi-storey
6441457470;None;6.857848/51.192696;None None;underground
1400843823;None;6.869637/51.177637;None None;underground
2865781961;None;6.819830/51.260561;None None;underground
6441457503;None;6.858475/51.193000;None None;underground
1400856431;None;6.871877/51.178412;None None;underground
6449692014;None;6.763115/51.250708;None None;surface
2886150343;None;6.806216/51.170380;None None;underground
1538054411;None;6.737460/51.233601;Schanzenstraße 125c;underground
2908949142;VIP Parken;6.780210/51.280725;None None;surface
6532884723;None;6.822010/51.263010;None None;underground
1540408252;None;6.729969/51.243220;Wickrather Straße 7;underground
2935201843;None;6.776083/51.220287;None None;surface
1540408286;None;6.730974/51.244060;Wickrather Straße 44;underground
6542850392;Crown;6.782774/51.219640;None None;multi-storey
2940489726;None;6.769078/51.218927;None None;underground
6566382067;None;6.825473/51.181654;None None;underground
1540408322;None;6.731200/51.244642;Wickrather Straße 45;underground
2944703713;None;6.834787/51.169374;None None;underground
6593221759;None;6.820784/51.249029;None None;underground
1540408337;None;6.729237/51.244937;Grevenbroicher Weg 43;underground
2944704054;None;6.833343/51.169954;None None;underground
6593221760;None;6.820859/51.248360;None None;underground
2949113713;None;6.814472/51.190748;None None;underground
6967463357;None;6.749007/51.213547;None None;underground
1540408359;None;6.729225/51.245406;None None;underground
2949113745;None;6.814949/51.191175;None None;underground
6967463363;None;6.750192/51.213171;None None;underground
1540430583;None;6.725606/51.245412;None None;underground
